"state","state_abb","category","indicator","dimension","dimension_value","period","period_meaningful","denominator","numerator","performance","state_rank","reporting_states","census_year","national_standard","as_of_date","profile_version","source","indicator_sort","indicator_short","indicator_very_short","description","denominator_def","numerator_def","direction_rule","direction_desired","direction_legend","decimal_precision","scale","format","risk_adjustment","exclusions","notes"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Caroline","19A19B","Oct '18 - Sep '19",7923,3,0.378644,,,2019,,2024-02-20,"February 2024","Children's Bureau. (2024, February). National - supplemental context data - February 2024 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Caroline","20A20B","Oct '19 - Sep '20",7814,16,2.047607,,,2020,,2024-02-20,"February 2024","Children's Bureau. (2024, February). National - supplemental context data - February 2024 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Caroline","21A21B","Oct '20 - Sep '21",7799,4,0.512886,,,2021,,2024-02-20,"February 2024","Children's Bureau. (2024, February). National - supplemental context data - February 2024 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Caroline","22A22B","Oct '21 - Sep '22",7797,9,1.15429,,,2022,,2024-02-20,"February 2024","Children's Bureau. (2024, February). National - supplemental context data - February 2024 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Caroline","23A23B","Oct '22 - Sep '23",7797,16,2.052071,,,2023,,2024-02-20,"February 2024","Children's Bureau. (2024, February). National - supplemental context data - February 2024 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Carroll","19A19B","Oct '18 - Sep '19",36504,28,0.767039,,,2019,,2024-02-20,"February 2024","Children's Bureau. (2024, February). National - supplemental context data - February 2024 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Carroll","20A20B","Oct '19 - Sep '20",37472,15,0.400299,,,2020,,2024-02-20,"February 2024","Children's Bureau. (2024, February). National - supplemental context data - February 2024 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Carroll","21A21B","Oct '20 - Sep '21",37676,12,0.318505,,,2021,,2024-02-20,"February 2024","Children's Bureau. (2024, February). National - supplemental context data - February 2024 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Carroll","22A22B","Oct '21 - Sep '22",38034,15,0.394384,,,2022,,2024-02-20,"February 2024","Children's Bureau. (2024, February). National - supplemental context data - February 2024 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Carroll","23A23B","Oct '22 - Sep '23",38034,21,0.552138,,,2023,,2024-02-20,"February 2024","Children's Bureau. (2024, February). National - supplemental context data - February 2024 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Cecil","19A19B","Oct '18 - Sep '19",23149,49,2.116722,,,2019,,2024-02-20,"February 2024","Children's Bureau. (2024, February). National - supplemental context data - February 2024 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
